,name,introduction,Area (Sq. km),Forest Area (acres),Total Housing Units,No. of Tehsils,No. of Union Councils,Population,Population Density per Sq. Km,Ratio Male per hundres females,Urban Population,Rural Population,Male,Female,Transgender,Labour force,Number of Printing Presses,Number of Television Sets,Operational Bank Branches,Sale of fertilizers (tonnes),Number of Animals,Number of Cattle,Value produced by manufacturing industries,Average daily persons engaged in industry (No),Employment cost,Wages & Salaries,Multi Dimensional Poverty Index,Road Kilometrage,Railway Route Kilometrage,Motor Vehicles Registered,Number of Exchanges,Telephone Connections,Public Call offices,Number of Post Offices,Govt. Health Institutions,Bed Strength,Number of Doctors,Registered Private Medical Practitioners,Number of patients treated,Percentage of children fully immunized Urban,Immunized rural,Percentage of households with tap water Urban,Rural,Percentage of households with toilet facility,Number of primary schools,Number of middle schools,Number of high schools,Number of higher secondary schools,Learning Score Percentage,Edu Inst Availability of Electricity,Edu Inst Availability of Water,Edu Inst Availability of Toilet,Private Health Institutions,Province
41,Gujrat,"Gujrat is surrounded on the North-East by Jammu and Kashmir, on the North-West by river Jhelum which separates it from Jhelum district, on the East and South-East by river Chenab, separating it from the districts of Gujranwala and Sialkot, and on the West by Mandi Bahauddin district.

There are some important industries operating in district Gujrat such as auto tyres/tubes, textile, porcelain, tableware, pottery/ceramics, electric fans/motors/appliances, footwear, etc.

Major crops and fruits of district Gujrat are Wheat, Rice, Citrus and Guava. There are flour mills, rice husking units, vegetable ghee unit and wood pulp unit in the district.

District Gujrat is quite rich in forest resources. The annual production of timber and fire-wood during 2000-2001 was 27000 and 68750 cubic feet respectively, which reflect very good prospects for wood seasoning / processing, furniture / flush doors / windows, particle / veneer board.",3192,42226.919,442399,3,129,2756110,863,94,827396,1928714,1335339,1420628,143,30040,,,,18000,,"139,000",11309114,11149,771649,560117,0.078,3531.85,,403716,,,,,19,1170,,,"1,986,000",100,100,35,10,94,955,211,280,25,62.45,99.27,99.58,99.79,,Punjab
42,Hafizabad,"The district is located at a longitude between 73°0 -12 and 73°0 -46 East and at a latitude between 31°0 -45 and 32°0 -20 North. The district spread over an area of 2367 square kilometer. It is surrounded by Gujranwala to the East, Jhang, Sargodha and river Chenab to the West, Faisalabad to the South, Mandi Baha-ud-Din to the North West, and district Sheikhupra to the South East.

The whole district is a flat alluvial plain divided between low lying alluvial bands and an uplands area. The district is irrigated largely through tube wells as well as to a lesser degree by the lower Chenab Canal.

Hafizabad is a very old city. In ancient times, when in 327 B.C Sikandar-e-Azam attacked  Hindustan, this territory ""Sandal Bar"" , (where is now the current Hafizabad is located ) was a populated area . Big cities were located in this territory and a lot of sub states were organized in the presidency of Maharajaz and Rajaz. In Sixth century, the famous Chinese tourist Hewang Sayan when came here, this area was not developed. Then the tourist moved to Sangla , he stayed in Jai Pura, located near village Koriala, but afterwards this territory became unpopulated and jungle-like area because of shortage of water and Afghan attackers.
The situation remained the same till King Akbar's Period. King Akbar once came here for hunting. King lost his companions as he went far away while hunting. The King felt thirst and wanted to drink some water. Suddenly he saw the signs of smoke; he followed the way and found a Sarmast in a cottage. King asked to arrange some water, there was no water, but Sarmast called up the grazing deer and milked to serve the King. King drank the milk and thanked Sarmast and asked if he had any wish or desire. Faqir Sarmast asked to build a town for his followers. King promised and ordered his advisor Hafiz Meerak to construct and build a city.
Hafiz Meerak built a town and the town was named after his name Hafizabad . Another authentic reference says that King Akbar wanted to name this town as Akbarabad.
Many thousand years old caste system is still dominating the social set up of the district. People of Hinjra and Aheer Caste were settled in District Hafizabad. However, Saansi, Gigray, Jogi, Rawal, Deendar, Malah, Bhirwaly, Faqeer, Bhandha and Pakhiwas are also living here. The major castes before partition were Bhatti, Kharal and Tarar.

Hafizabad is famous for its rice production. The Hafizabad City Grain Market and Jalpur Bhattian Grain Market are the biggest rice export centers of the country.The majority of population in the district is Muslim, while Christians and Ahmadis inhabit the areas in small numbers with the share of 2.9% and 0.1%, respectively.

Rice occupies 2.5 million hectare that is 10.9% of the total cultivated area with production of 5.1 million tonnes of milled rice.

Hafizabad is known as “City of Rice” and is the biggest rice market in which following types of rice are cultivated:
Basmati 385
Basmati 386
Super Karnal
Ery Nine
Erey Six
Super Fan
KS 282",2367,2154.712,175180,2,46,1883556,489,102,402851,754106,584823,572083,51,6470,,,,"58,000",,"135,000",7000443,5946,595840,586734,0.152,1688.53,,88698,,,,,2,185,,,"293,000",100,99,5,1,79,604,112,67,13,68.65,92.43,99.67,99.01,,Punjab
43,Jhang,"Jhang District is situated in the central Punjab and lies between 30.37 to 31.59 degree North latitudes and 71.37 to 73.13 degree East longitudes. The district Jhang is adjoined by Toba Tek Singh and Faislabad to the East, Hafizabad to the North-East, Khanewal on the South, Sargodha on the North, Khushab, Bhakkar and Layyah on the West.

The area was inhabited at the time of Alexander but the present city of Jhang was built in 1288 by Rai Sial with the advice of Hazrat Shah Jalal Bukhari (his peer). Sial tribe ruled this city for 360 years. It was then destroyed by the river and re-founded during the reign of Aurangzeb. Under Central Asian Mughal rule, the city flourished and was notable for commerce and trade.
In the late 18th century, it became part of the Afghan Empire. With disarray and chaos falling internal strife in Western Afghanistan and the gradual decline of the Mughal Empire, the city was briefly taken by Ranjit Singh in 1805. Later in 1849, the British made inroads into the Punjab and added Jhang to their expanding South Asian Empire.
During British Rule the towns of Jhang and Maghiana, lying two miles apart, became a joint municipality, then known as Jhang-Maghiana.
Most of the land is plain cultivable, except the area near the bank of River Chenab where there is a series of Kirana Hills. In the Western part, a desert area called Thal extends from the banks of the Jehlum River to the far West in the districts of Khushab and Bhakkar, while the Sandal Bar area arises from the Pabbarwala area near the Gujranwala boundary. No cultivation was possible in this wild area in past. Later, the British Colonial Government established a canal system and the town of Lyallpur (now Faisalabad) on 975 acres of land, which is now the textile industry hub of Pakistan.
Between the Jehlum and Chenab rivers, a small area of kirana bar is also located in this district, which ends at the Ghoriwala village. The area alongside the banks of rivers Ravi, Chenab and Jehlum is called Hitthar (area in which flood water reaches), while the upland area between bars and hitthar is called Utar.
The major crops of this district are Wheat, Cotton, Rice, Sugar Cane, Maize and Grams. The main fruits are Mango, Orange and Lemon.",8809,16002.196,427390,4,91,2743416,311,104,598190,2145226,1396612,1346660,144,12216,,,,"114,000",,"529,000",17897749,7975,573152,505577,0.196,2157.84,,214630,,,,,9,573,,,"953,000",92,99,7,2,60,1271,187,158,31,67.27,91.75,100,98.98,,Punjab
44,Jhelum,"Jhelum is known for providing a large number of soldiers to the British Army before independence and later to the Pakistan armed forces due to which it is also known as 'city of soldiers' or 'land of martyrs and warriors'.
Urdu is the language spoken and understood by all. However majority of the people, especially those living in the city speak Punjabi. People living in cantonment are not generally the citizens of Jhelum and consist of army officials posted there that belong to different areas of the country. Hence Urdu is the main language spoken and understood by the people living in the cantonment.  The educated elite living in Jhelum also understand and speak English.

People of the Jhelum are simple and most of the population resides in villages. Major casts living in district Jhelum include Rajput, Jat, Kyanis. Since the area is not rich in agriculture, most of the people engage in different jobs other than cultivating crops. Life of the people living in Jhelum can be divided into people living in the city and those living in the cantonment. The people living in the cantonment are mainly the army officials while those living in the city are either landlords or own showrooms etc. People start their day early in the morning with male members of the house going to their work place and children going to schools. Female members of the house stay back and look after the house. However there are also women who work. The working women usually work as doctors and teachers.
The city is leading towards continuous development and advancement.  Initially the city lacked good market for clothing and other household items. People usually traveled to Rawalpindi or Lahore for the shopping. Now the trend is changing. The famous clothing brands including mushrooms. Leisure club, Chinyere, Bareeze and many more have now opened in Jhelum.
People of this area have gone abroad to earn their lively hood and most of them are settled in United Kingdom and Middle East. These people are a big source of foreign remittance and are contributing to the foreign exchange of the country.
Two main intercity roads facilitate communication in Jhelum. Motorway on its one side and Grand Trunk Road on the other.
Daewoo Express Bus Service and other bus services operate from the city to the entire country.There is a regular bus/Hiace service available running from early hours of the morning to late in the night. Daily routes include Rawalpindi, Islamabad, Lahore, Gujrat, Gujranwala, Sialkot, Mandi Bahauddin, Sargodha, Chakwal, Mirpur and Faisalabad.
The region is also covered with the railroad network in all of its main towns. The Jhelum Railway Station was built in 1928 during British rule before the independence of Pakistan. It was connected by the North-Western Railway to other cities in the Indian empire. Jhelum is on main line of Pakistan Railways, and linked to whole country through Railway line across Pakistan. Many of the railway lines and bridges were designed and constructed by exceptionally hardworking engineers during the British time and after independence in railway workshop Jhelum.

There are a number of industries in and around Jhelum city, including Pakistan Tobacco Company, ICI Soda Ash, Cement (Dandot), Mari Petroleum, 83 Brick kilns and 16 Flour Mills.",3587,126720.293,204792,4,44,1222650,341,97,354202,868448,601964,620636,50,7164,,,,2000,,"105,000",6793986,2662,493748,455401,0.035,1410.95,,230155,,,,,9,440,,,"195,000",100,100,28,27,91,529,138,147,15,56.15,100,100,100,,Punjab
45,Kasur,"The district of Kasur was established in 1976. Located between two rivers Ravi and Sutlej, it is commonly known as Majha. Kasur is bounded by India in the east, by District Okara on south, by District Sheikhupura on north-west and by District Lahore on its north.

Kasur city was established by Kishwar, Kassu or Kishi son of Ram Chandra whereas his other brother Laho established Lahoopur or Lahore. In this way Lahore and Kasur are twin cities. It is also said that Kasur means city of Kasur i.e. city of palaces because there were too many places like forts which are still situated in old city of Kasur. It is further mentioned by the Pathans that they became along with the army of Mughal emperor Babar who gave then Jagir/Land in Kasur.

Shrine of Baba Bhullay Shah, Baba Kamal Chishti and Khawja Daim-ul-Hazoori are also located in Kasur and a large number of pilgrims from the whole country and even from India paid visit to these shrines.

Sugarcane, Wheat, Rice (cleaned), Cotton and Maize are the main crops grown in the district. Besides, Jawar, Bajra, Moong, Mash, Masoor, Oil Seed such as Rape / Mustard and Sun Flower are also grown in minor quantities in the district.
Citrus, Guava and Mangoes are main fruits grown in the district. Besides, Peaches, Jaman, Phalsa, Litchi, Banana, Plum, Pomegranate, Pears and Apricot are also grown in minor quantities in the district.

Potatoes, Onion, Carrot, Cauliflower, Brinjal, Bottle Gourd, Turnip, Garlic, Ladyfinger and Peas are main vegetables grown in the district. Besides, Brinjal, Bottle Gourd, Turnip, Chillies and Tomato are also grown in minor quantities in the district.

District Kasur has been traditionally a centre of tanning units. With the establishment of Chunian Industrial Estate, a variety of industrial units are being established. However the main thrust is on textile spinning. There are also a number of power looms units in the district In view of the tanning, textile spinning and power looms units there exists big scope for textile processing / printing, quality men/women under garments, ready-made garments, canvas cloth, tents/tarpaulins, textile related chemicals, sizing units, paper cones/bobbins, textile machinery repairing shops, tanning chemicals, leather garments and leather products, leather footwear, etc.

In view of the accelerated industrial development in Chunian Industrial Estate, there exist very good prospects for thermal electric generation unit as well as hydro-electric generation unit by using the water flow of Baluki-Sulamani link canal. Besides, there also exist good prospect for pre-stressed RCC beams/slabs/girders, steel structure, packaging units, electric wire/cables, G.I.wire, electric switch gear/control gear, generators, insulators/capacitors, circuit breakers, paints/varnishes, etc.",3995,13780.767,526166,4,125,3454996,865,108,890835,2564161,1790253,1664606,137,119503,,,,"122,000",,"303,000",116793709,69469,13328463,12739316,0.095,2893.29,,45210,,,,,7,351,,,"843,000",100,100,29,10,92,1048,256,159,30,49.78,96.44,98.31,98.12,,Punjab
46,Khanewal,"Khanewal District Created in 1985 is Situated on Peshawar-Karachi main Railway Line and on National Highway, it is surrounded by five districts, Multan, Jhang, Sahiwal,  Vehari, Toba Tek Singh. Major Part of its tehsils Kabirwala and Mian Channu are old settled areas along the banks of Ravi and Chanab. District Khanewal has fertile lands and it is also known for the Wheat, Cotton, Sugar-cane and other crops.

Major crops of district Khanewal are wheat, cotton and sugarcane. Among fruit, citrus, mangoes and guavas are grown in large quantities. A variety of vegetables are also grown in the district. In district Khanewal there are 7 textile spinning mills, 4 weaving mill 9 flour mills, 2 vegetable ghee mills, one sugar mills, one solvent oil extraction unit and a number of cotton ginning / pressing factories and oil expelling units, one Beverage unit, 3 poly propylene bags units, and 2 woolen textile spinning mills. In view of the availability of cotton, fruit, vegetables and the existing industrial pattern, there still exist potential for textile spinning especially for textile weaving / processing, hosiery, terry towel, surgical cotton, household / hospital and bed sheets, surgical bandage and fruit juices, squashes / jams / jellies / pickles and vegetable dehydration.

Besides textile mills, sugar mills, vegetable ghee mills, milk processing unit, etc. A number of engineering goods industries are manufacturing a variety of agricultural implements. In view of existing engineering base, there exist good prospects for Foundry, Die-Casting, Wrenches/Spanners/Hand Tools, Cast Iron Pipes, Welding Electrodes, Aluminum utensils, Water-Pumps, etc. manufacturing units. A paper-Cone Manufacturing Unit and Tins-Making Unit may also be established to meet the requirements of textile mills and vegetable ghee manufacturing units.",4349,7796.005,466390,4,135,2921986,672,103,564076,2357910,1484692,1437171,123,14618,,,,"134,000",,"378,000",28040833,10846,1658843,1637715,0.189,2749.96,,230856,,,,,9,392,,,"1,335,000",100,100,2,3,83,737,354,184,39,79.42,97.43,99.59,99.59,,Punjab
47,Khushab,"Khushab is situated between the cities of Sargodha and Mianwali, near the river Jhelum. Its main crops are Sugarcane, Gram, Wheat, Rice and Ground Nut. Main Vegetables are Tomato and Carrot. Main Fruits are Citrus, Guavas and Banana.

Though cotton and jute are grown in very small quantities but there are four cotton textile/spinning and three jute mills operating in the district. Other important units are one sugar mill, two cement units, one soda ash and two vegetable ghee manufacturing units. The existing units reflect good prospects for other integrated industries like hosiery, bed sheets, jute floor mats, and machine made carpets, polypropylene woven bags, etc.

In view of the localized requirements, there exists good scope for cold storage, biscuits, laundry soap, aluminum utensils, straw board, packing boxes, etc.",6511,114338.112,211686,4,48,1281299,197,99,352830,928469,638071,643181,47,13246,,,,"11,000",,"502,000",12183441,6989,757431,646982,0.2,2166.99,,129857,,,,,9,497,,,"606,000",100,94,23,25,79,729,136,117,11,65.82,91.92,95.75,99.18,,Punjab
48,Lahore,"Location of Lahore City is bounded on the North and West by Sheikhupura district, on the east by India and on the south Kasur district River Ravi flows on the northern side of Lahore. Total land area of the city is 404 sq. Km. Altitude of the city lies between 31-15 and 31-45 North latitudes and 74-01 and 74-39 East longitude. Climate of Lahore city faces extremes climate, May, June, and July are hottest months. While December, January and February are the coldest months. Languages spoken in the city are Punjabi, Urdu and English. Extravagant language, maybe, but admirers have always vied with each other to immortalize this Pearl of the Punjab.

The origin of Lahore can be traced back somewhere between 1st and 7th centuries A.D. It is, however, inferred by historians that Lahore was actually founded by Loh e son of Rama, characterized as the Hindu god in Ramayana. According to Sir Robert Montgomery, Lahore rose to importance between 2nd and 4th centuries. According to the Greek geographer, Ptolemy, Lahore was founded somewhere at the end of the 1st century. According to the book ood-e-Aalamahore appeared as a town in 882 AD.

Lahore is the city of poets, artists and the center of film industry. It has the largest number of educational institutions in the country and some of the finest gardens in the continent.

Lahore is the second largest financial hub of Pakistan and has industrial areas including Kot Lakhpat and the new Sundar Industrial Estate (near Raiwand). A major industrial agglomeration with about 9,000 industrial units, Lahore has shifted in recent decades from manufacturing to service industries. The city is the country’s largest software producing center, and hosts a growing computer-assembly industry. (ADB 2010)

Lahore is the hub of handmade carpet manufacturing in Pakistan. (Al Rug 2007).",1772,2391.928,1757691,5,274,"11,126,285",6279,110,"11,126,285",0,5824131,5300931,1223,209423,,,,"48,000",,"209,000",250439107,104442,13999070,13029931,0.017,1309.93,,5349073,,,,,54,14880,,,"3,658,000",99,100,73,13,100,609,233,334,74,53.93,96.5,96.98,96.82,,Punjab
49,Layyah,"District Layyah is bounded on the North by district Bhakkar, on East by district Jhang. River Indus flows on its Western side across which lies district D.G.Khan and on the South district Muzaffargarh.

The district Layyah has an extremely hot climate. The temperature in winter is low due to nearness to Koh-Suleman range of mountains. The tehsil Chaubara is almost barren and consists of forest and sand dunes. It is actually a Rakh under the control of Forest Department. The thesil of Layyah and Karor Lal Esan are comparatively better developed agriculturally but they have also large tracks of sand dunes and uncultivated land. The river Indus passes from North to South on Western side of the district and touches D.G.Khan.

Major Crops are Sugarcane, Wheat, Cotton, Gram, and Guar Seed. Major Industries are Cotton Ginning and Pressing, Flour Mills, Oil Mills and Sugar. As Layyah is one of least industrialized districts of Punjab, therefore, it is appropriate that such industries may be established which can sell their products easily in the local market such as Niwar making, Laundry Soap, Tyre retreading, Cattle/Sheep/Goats Fattening Farms, Cold Storage, Biscuits, Steel Furniture, Electrical Accessories like Plugs, Switches, Boards, etc. Sewing Machines and Desert Coolers can also be manufactured by purchasing major electrical/mechanical parts from the manufacturers of other districts.",6291,125722.009,281929,3,48,1824230,290,103,321505,1502725,925333,898817,80,8986,,,,"86,000",,"678,000",3011992,963,64931,60464,0.214,2667.89,,178033,,,,,8,532,,,715000,100,100,28,2,81,1178,246,154,12,70.18,97.17,98.34,98.42,,Punjab
50,Lodhran,"Lodhran is located on the northern side of river Satluj. On its north are the districts of Multan, Khanewal and Vehari while Bahawalpur is on its southern side. On the east lie the districts of Vehari and Bahawalpur; while district Multan lies on the western side.

Wheat and Cotton are the major crops. Besides, Rice, Sunflower, Sugarcane, Tobacco, Moong, Mash, Masoor, Oil Seed such as Rape / Mustard and Sun Flower are also grown in minor quantities in the district. Onion and Cauliflower are the major vegetabales. Besides, Peas, Potato, Tomato, Garlic and Ladyfinger are also grown in the district in minor quantities. Mango and Citrus are the major fruits. Besides, Pomegranate, Dates, Jaman, Banana and Phalsa are also grown in minor quantities in the district.
 
In district Lodhran only one ghee mill is major Industrial unit operating in the district. However, there exists good scope for nuts/bolts, hand tool, auto parts, paints, plastic products, tin making for packing of vegetable ghee, lint cleaners for ginning factories.",2778,1843.366,262650,3,70,1700620,612,103,265710,1434910,862663,837873,84,3167,,,,"135,000",,"489,000",4804815,839,51872,50765,0.23,1060.73,,70383,,,,,4,217,,,"516,000",100,100,19,22,73,575,153,93,17,61.65,96.7,99.31,99.65,,Punjab
51,Mandi Bahauddin,"It is bordered on the northwest by the Jhelum River, on the southeast by the Chenab River (which separates it from Gujranwala District and Gujrat District), and on the southwest by the Sargodha District.

Originally Mandi Bahauddin was a village called as Chak number 51. It started expanding after the completion of Rasul Hydroelectric Power Station on Upper Jhelum Canal in 1901. Today, Mandi Bahauddin is an over crowded market town famous for its agricultural markets (Grain Market, Vegetable Market and Livestock Market) and local industry of making colourful bed legs.

The name Mandi Bahauddin originates from two sources: Mandi (market) was prefixed because it was a flourishing grain market and Bahauddin was borrowed from nearby old village Pindi Bahauddin, which has now become part of the town. After the partition, thousands of refugees from India rehabilitated on the evacuee property of Sikh and Hindu landlords. Lately, after the construction of Rasul Barrage, people from the belt along southern edge of Salt Range up to Pind Dadan Khan and other areas across the River Jhelum came settling in the town. Due to migrations and increase in business activities, the town has expanded in all directions. The result is that more than half of the population is living outside municipal limits without any civic amenities. More unplanned localities and kachi abadies are coming up everyday. The tendency to move from rural areas to urban centres is on the increase.",2673,13736.289,252120,3,80,1593292,596,95,326400,1266892,776205,816971,116,13283,,,,"88,000",,"119,000",5335818,2654,262682,240199,0.147,2133.55,,151575,,,,,7,251,,,"411,000",100,100,4,5,85,551,140,141,12,65.5,98,100,100,,Punjab
52,Mianwali,"District Mianwali is bounded by district Attock on North-East, Chakwal and Khushab districts on East and Bhakkar on South and Khyber Pakhtunkhwa on its West and North-West. River Indus flows across the district from North to South. Three branches of the Thal Canal Emerging from Jinnah Barrage on river Indus near Kalabagh irrigate the vast areas. Another canal called Chashma Link Canal connects river Indus with river Jhelum through Chashma Barrage.

Major crops are wheat and sugarcane. In district Mianwali, there are seven flour mills.
District Mianwali is quite rich in minerals. Argillaceous Clay, Coal, Dolomite, Fire Clay, Gypsum, Limestone, Silica Sand and Rock Salt are excavated in commercial qualities. There is one cement factory operating in the district. However, there exists good scope for Dolomite Processing, Fire Bricks/Refractories, Hollow Glass-ware, Insulators/Capacitors and Ceramics Sanitary-ware. A careful study may also reflect a potential for a Coal based power generation unit, a Soda Ash unit based on Rock Salt and a steel mill based on iron-ore.

Besides cement factory, other important industrial units operating in the district are pharmaceutical (Antibiotics), fertilizer and dyes/chemical manufacturing units. Developing business relation with these units; paper sacks (for cement), polypropylene woven bags (for fertilizer), glass ampoules (for injection filling) manufacturing units possess very good prospects. Concrete Railway Sleepers/Electric Poles manufacturing units also have very good prospects provided business arrangements are made with WAPDA and Railway Department.",5840,39718.854,238006,3,51,1546094,265,100,328395,1217699,774060,771995,39,5221,,,,"23,000",,"456,000",9331657,1693,438062,146708,0.239,2047.89,,180004,,,,,6,471,,,"766,000",96,100,21,16,82,964,163,125,18,74.07,86,94.6,96.9,,Punjab
53,Multan,"Located on the banks of the Chenab River, The nearest major cities are Dera Ghazi Khan and Bahawalpur. Multan is located in a bend created by five rivers of central Pakistan. The Sutlej River separates it from Bahawalpur and the Chenab River from Muzaffar Garh. The area around the city is a flat, alluvial plain that is used for citrus and mango farms.
 
Multan district is distinguished for its status in Agricultural production especially cotton and Mango. It has renowned Agricultural research institutes like
Central Cotton Research Institute
Cotton Research Station
Mango Research Station
Agricultural College at Baha-ud-Din Zakria University
All the personnel and Infrastructure required for Agricultural development is available at Multan. It also has a rich cultural heritage.
After the devolution on 14th August 2001, Agriculture group at district level consists of five departments i.e. Agriculture (Extension), on Farm Water Management, livestock, Fisheries and Forest. This group is administered by Executive District Officer Agriculture.
Industrial Data is as follows;",3720,,760858,4,185,4745109,1276,106,2058290,2686819,2437412,2307504,193,32602,,,,"259,000",,"342,000",52309942,16347,1229332,1157729,0.173,3024.4,,1205168,,,,,16,2276,,,"1,088,000",100,99,19,4,86,1002,220,164,55,75.77,92.25,97.19,97.77,,Punjab
54,Muzaffargarh,"The city of Muzaffargarh is located in southern Punjab province at almost the exact centre of Pakistan. The closest major city is Multan. The area around the city is a flat, alluvial plain and is ideal for agriculture, with many citrus and mango farms. There are many canals that cut across the Muzaffargarh District, providing water from nearby farms. This makes the land very fertile. However usually land close to the Chenab are usually flooded in the monsoon season.
Muzaffargarh features an arid climate with very hot summers and mild winters. The city witnesses some of the most extreme weather in the country. The highest recorded temperature is approximately 54 °C (129 °F), and the lowest recorded temperature is approximately −1 °C (30 °F). The average rainfall is roughly 127 millimetres (5.0 in). Dust storms are a common occurrence within the city.

Wheat, sugarcane and cotton are the main crops grown in the town and the surrounding district. Rice, jowar, pearl millet, moong bean, masoor, ground nuts, maize, mustard seeds, sunflower seeds, and other oil seeds are grown in the area in small amounts.

Mangoes, dates, citruses, and pomegranates are the main fruits grown in the region. Jamun, pears, phalsa, and bananas are also grown in minor quantities.

Vegetables grown in the area include onions, carrots, cauliflower, peas, okra, turnips, tomatoes, potatoes, garlic and chilies.

Muzaffargarh is a leading district in fish farming, with about 15000 acres of land being utilized for aquaculture. The Indian major carp and the tilapia are the most commonly cultured fish.

The town's major industries include cotton ginning and pressing, flour milling, jute textile production, oil milling, paper production, petroleum production, including refining, electrical power production, solvent extraction, and textile spinning.

The Pak-Arab Mid-Country Refinery is Pakistan's newest, largest and most complex refinery. Commissioned in 2000, the Pak-Arab Refinery produces 100,000 barrels per day, and it represents about 35% of Pakistan’s refining capacity. It helps substitute the import of refined oil products worth 10.5 billion PKR (USD $100 million) per year. The Pak-Arab refinery mainly processes crude oil from the Upper Zakum oil fieldand from Saudi Arabia.

Kot Addu Power Company was incorporated in 1996 with the purpose of contributing electrical power to the national grid. KAPCO has shown good results plant maintenance, availability, quality standards, and financial performance. In April 2005, KAPCO was listed on all three stock exchanges in Pakistan. The total production capacity of KAPCO is 1600 megawatts.

Lal Pir Power owns and operates the Lal Pir thermal power station, the most efficient power plant in Pakistan. The total production capacity of the station is 362 megawatts.

The Thermal Power Station of Muzaffargarh consists of 3 oil-fired steam-operated units producing 210 megawatts, each with an attachment to another 3 units of the same or more capacity. The total production capacity of the TPS is 1350 megawatts. This power station is a major thermal power plant that is connected with the national grid system of Pakistan. 

The town is linked to the rest of the district by paved roads that stretch for 983.69 km. Buses to Multan leave frequently, because of their close proximity to each other. There are also buses that travel to more distant destinations. The N-5 National Highway connects the city to the other parts of Pakistan. This highway allows for direct travel to Rawalpindi, Islamabad, Faisalabad, Karachi, Lahore, and Bahawalpur.

Muzaffargarh is connected by rail with all parts of Pakistan, as it lies on the branch track between Rawalpindi, Multan, Mianwali and Attock. The main Peshawar-Karachi railway line passes through Multan district.

Muzaffargarh has no Airport. The people of Muzaffargarh primarily use the Multan International Airport. A rise in air travel in the region has led to the expansion of the airport with a new runway and terminal.",8249,101434.55,667515,4,111,4322009,524,106,694771,3627238,2218744,2103132,133,24983,,,,"121,000",,"1,100,000",48519118,20402,2272245,2096370,0.338,2243.03,,139789,,,,,10,467,,,"1,264,000",97,99,5,1,69,1583,225,132,48,0,88.86,92.89,92.77,,Punjab
55,Nankana Sahib,"District Nankana Sahib was established on July, 2005. Previously it was a sub-division of Sheikhupura District.

Nankana Sahib is a sacred place for the Sikh community as it is the birthplace of Guru Nanak, the founder of Sikh religion. Guru Nanak (the founder of Sikhism was born on 15th April, 1469 at Rai-Bhoi-di Talwandi now called Nankana Sahib. Guru Nanak died on 22nd September, 1539. For more than 500 years the city of Nankana Sahib has been pilgrim spot for thousands of Sikhs who visit each year.

Industrial activity includes rice mills, chemical industries, sugar mills, cotton industries, cloth mills and textile industries.",2720,2854.005,215934,3,65,1356374,499,104,246053,1110321,691944,664359,71,27727,,,,"28,000",,"173,000",,,,,0.11,1951.01,,36571,,,,,5,310,,,"382,000",100,100,11,3,88,557,141,85,13,73.52,91.17,99.82,98.59,,Punjab
56,Narowal,"Narowal District takes its name from its headquarters town. It is divided into two tehsils viz Narowal and Shakargarh. Before coming into being the district, both Narowal and Shakargarh were the tehsils of the district Sialkot. In 1991, Narowal district was created comprising Narowal and Shakargarh tehsils. Before independence of Pakistan, Shakargarh town was the headquarters of tehsil Shakargarh, which formed part of Gurdaspur district. Under the Radcliff Award, Shakargarh tehsil was transferred to Pakistan and attached with Sialkot district. Then in 1991, Shakargarh was attached with Narowal district. Now Shakargarh is functioning as tehsil in District Narowal. Narowal is functioning as a separate administrative district with effect from July 1, 1991.

It lies from 31° 55' to 32° 30' north latitudes and 74° 35' to 75° 21' east longitudes. The district is bound on the northwest by Sialkot district, on the north by Jammu State, on the east by Gurdaspur district (India) and on the south by Amritsar district (India) and Sheikhupura district.

There are about 122 large, medium and some small industrial units in the district.

Agro based industries in Narowal include Rice Mills, Flour Mills, Ghee Mills and Cold Storage facilities.",2337,12461.253,239916,3,98,1709757,732,97,257248,1452509,841950,867712,95,478,,,,"164,000",,"127,000",1950037,355,19482,15916,0.118,1294.75,,56107,,,,,2,380,,,"517,000",100,100,33,5,80,954,163,152,21,67.52,89.7,99.17,99.17,,Punjab
